ScientistName#preparation#date#components#login#password
Ланчеков Алексей Тимофеевич#Зылорик#1489-05-21#Chemical_63 Chemical_71 Chemical_40#Ланчеков_АТ#N8gLQy4qBo
Ампипогов Михаил Юрьевич#Иммунивит#1664-02-17#Chemical_100 Chemical_6 Chemical_44#Ампипогов_МЮ#43XGLM2stU
Тюлюлюева Анна Яковлевна#Нитросорбид#1827-09-25#Chemical_18 Chemical_69 Chemical_93#Тюлюлюева_АЯ#HmB2XjfK7a
Неветруева Елена Эдуардовна#Гидрохлоротиазид#0902-11-21#Chemical_15 Chemical_82 Chemical_21#Неветруева_ЕЭ#eczIgP5ddm
Курочкин Руслан Аркадиевич#Золедроновая кислота#1389-01-05#Chemical_44 Chemical_62 Chemical_73#Курочкин_РА#nOOs1SMWd9
Рутковский Антон Кириллович#Бактрим#1327-01-22#Chemical_19 Chemical_27 Chemical_68#Рутковский_АК#7A0joGWK7T
Шабунов Юрий Алексиевич#Парацетамол#0970-10-22#Chemical_41 Chemical_31 Chemical_39#Шабунов_ЮА#4Cck2AQk1G
Кожетев Максим Аркадиевич#Алпразолам#1743-04-03#Chemical_26 Chemical_76 Chemical_16#Кожетев_МА#MWzet62Q4Y
Хусаинов Антон Алексеевич#Росувастатин#0949-06-08#Chemical_89 Chemical_77 Chemical_35#Хусаинов_АА#i8ZwgpMYvf
Вендеров Никита Тимофеевич#Витамин С#1119-02-24#Chemical_43 Chemical_97 Chemical_3#Вендеров_НТ#MoH50UoGMs
Дергунская Яна Эдуардовна#Колчицин#1909-04-19#Chemical_70 Chemical_7 Chemical_23#Дергунская_ЯЭ#RG1fc1jXUK
Заботнов Анатолий Максимович#Тианептин#1454-04-22#Chemical_75 Chemical_98 Chemical_63#Заботнов_АМ#XMc4fmENnV
Рубинов Руслан Иванович#Рамиприл#1276-02-24#Chemical_38 Chemical_46 Chemical_16#Рубинов_РИ#JnasenQCXA
Крючатов Ярослав Антонович#Миртазапин#1734-03-17#Chemical_51 Chemical_64 Chemical_70#Крючатов_ЯА#XAQ9jDraYl
Жебракова Полина Игоревна#Бисопролол#1886-02-19#Chemical_87 Chemical_27 Chemical_19#Жебракова_ПИ#4UI9VEXxu6
Данивецкая Виолетта Эдуардовна#Золедроновая кислота#1451-11-13#Chemical_37 Chemical_65 Chemical_92#Данивецкая_ВЭ#qQpsRXHHBt
Мятлев Георгий Денисович#Азитромицин#1987-08-26#Chemical_16 Chemical_14 Chemical_48#Мятлев_ГД#ovsKkThgVH
Нетунаев Руслан Петрович#Клопидогрел#1969-06-01#Chemical_99 Chemical_87 Chemical_25#Нетунаев_РП#n2XmN11BPX
Аранышев Иван Юрьевич#Тианептин#1035-08-27#Chemical_56 Chemical_60 Chemical_53#Аранышев_ИЮ#dRWoBFb4Zp
Курмелев Леонид Николаевич#Спазмалгон#1543-08-10#Chemical_44 Chemical_43 Chemical_15#Курмелев_ЛН#W8dckhvBRm
Арончикова Вероника Викторовна#Живина#2000-01-25#Chemical_22 Chemical_91 Chemical_60#Арончикова_ВВ#EgOQwy5QYb
Гизулина Галина Ивановна#Омепразол#1875-10-22#Chemical_9 Chemical_3 Chemical_59#Гизулина_ГИ#9e8YTSWIkT
Мразевский Артём Викторович#Диклофенак#1450-12-12#Chemical_98 Chemical_9 Chemical_50#Мразевский_АВ#fxcqKRyIti
Окладнова Алена Максимовна#Агонал#1765-03-28#Chemical_26 Chemical_32 Chemical_27#Окладнова_АМ#MoYBYO7NCR
Курыпина Анастасия Валерьевна#Золекс#1663-06-14#Chemical_1 Chemical_94 Chemical_63#Курыпина_АВ#lDmkAtGTJt
Алтамонов Борис Аркадиевич#Оланзапин#1215-11-17#Chemical_57 Chemical_81 Chemical_21#Алтамонов_БА#8O22Mg2Bgg
Бардаева Анна Михайловна#Пароксетин#1368-03-04#Chemical_20 Chemical_65 Chemical_42#Бардаева_АМ#HvHF33BdPz
Родных Игорь Михаилович#Валидол#1123-03-07#Chemical_77 Chemical_45 Chemical_100#Родных_ИМ#rCbg2ur1vS
Маговский Константин Юриевич#Ацетилсалициловая кислота#1315-08-02#Chemical_73 Chemical_92 Chemical_9#Маговский_КЮ#YhcUWks5iD
Гергиев Олег Кириллович#Омепразол#1333-04-12#Chemical_6 Chemical_93 Chemical_45#Гергиев_ОК#nCdvwnzfy3
Русалина Дарья Алексеевна#Ибупрофен#1390-11-03#Chemical_26 Chemical_30 Chemical_82#Русалина_ДА#v4x9Tebx21
Бухтулова Виктория Алексеевна#Бромгексин#1408-11-08#Chemical_72 Chemical_8 Chemical_45#Бухтулова_ВА#fPhPKJ6Pcc
Сабаткоев Федор Викторович#Нимесулид#1531-01-04#Chemical_55 Chemical_67 Chemical_74#Сабаткоев_ФВ#NPnmObzric
Шмитов Никита Игоревич#Левофлоксацин#1817-07-04#Chemical_41 Chemical_81 Chemical_61#Шмитов_НИ#N4b7zl7I9C
Стенцова Лиза Петровна#Диклофенак#1261-11-17#Chemical_65 Chemical_13 Chemical_29#Стенцова_ЛП#Y0ztgmZ5Pi
Ярычевский Максим Евгеньевич#Глюкозамин#1106-01-17#Chemical_34 Chemical_86 Chemical_88#Ярычевский_МЕ#FWjXVbo51E
Шкваркин Федор Юрьевич#Тианептин#0929-07-27#Chemical_67 Chemical_56 Chemical_43#Шкваркин_ФЮ#az3bCG0JHD
Магусумова Ирина Олеговна#Дикарбазин#0991-07-16#Chemical_51 Chemical_15 Chemical_2#Магусумова_ИО#iOkYn9kxRA
Шаморкина Галина Федоровна#Кладрибин#1633-08-02#Chemical_61 Chemical_62 Chemical_48#Шаморкина_ГФ#ONHEsKrivR
Цицеров Альберт Антонович#Небиволол#1820-01-05#Chemical_6 Chemical_48 Chemical_7#Цицеров_АА#U9YVSLoSlt
Улерьянова Ксения Евгеньевна#Диклофенак#1523-11-17#Chemical_1 Chemical_14 Chemical_96#Улерьянова_КЕ#LjiZygge53
Ханмурзина Карина Игоревна#Енап#1309-08-18#Chemical_21 Chemical_1 Chemical_34#Ханмурзина_КИ#UDJlg9Pz2u
Гарская Евгения Никитична#Пилипен#1983-11-20#Chemical_2 Chemical_15 Chemical_11#Гарская_ЕН#soX0nXQMRU
Гнетнев Григорий Денисович#Евалар солгар мультивитамини#1074-07-16#Chemical_12 Chemical_69 Chemical_99#Гнетнев_ГД#J5Qyw1t2kp
Бельцов Алексей Яковлевич#Ретардин#2011-04-09#Chemical_2 Chemical_23 Chemical_92#Бельцов_АЯ#lmGmlhjFML
Федурин Владимир Алексеевич#Амитриптилин#0982-10-20#Chemical_5 Chemical_75 Chemical_78#Федурин_ВА#uTtmmh9IeP
Акацков Анатолий Кириллович#Бетаин#1567-02-19#Chemical_73 Chemical_17 Chemical_48#Акацков_АК#7M6YRUsxiO
Кумакова Жанна Борисовна#Лоразепам#1605-07-21#Chemical_70 Chemical_36 Chemical_6#Кумакова_ЖБ#k8jv3oQtMB
Кобызева Ольга Андреевна#Лантус#1198-01-23#Chemical_25 Chemical_64 Chemical_89#Кобызева_ОА#ZWU2616hX2
Кимятов Владимир Евгеньевич#Дектанол#1854-12-15#Chemical_43 Chemical_98 Chemical_34#Кимятов_ВЕ#cJjYxYEIny
Милавина Виолетта Аркадьевна#Росувастатин#1215-12-04#Chemical_40 Chemical_57 Chemical_47#Милавина_ВА#Jd2BurgOUV
Манетов Павел Павлович#Бисакодил#0969-07-05#Chemical_11 Chemical_13 Chemical_51#Манетов_ПП#BST26f2VKr
Сайдакова Людмила Вадимовна#Мелоксикам#1620-02-12#Chemical_3 Chemical_23 Chemical_56#Сайдакова_ЛВ#IFQXsRVWq3
Туржанский Семён Антонович#Уоллтапс#1042-06-13#Chemical_18 Chemical_78 Chemical_92#Туржанский_СА#va2EN53vkM
Цыпушкина Елена Андреевна#Енап#1837-04-20#Chemical_77 Chemical_69 Chemical_1#Цыпушкина_ЕА#XjUZLdtBbp
Лунарева Ксения Алексеевна#Ранитидин#1382-08-04#Chemical_10 Chemical_97 Chemical_88#Лунарева_КА#7Wo0TMA34O
Ивлюшин Георгий Николаевич#Амоксициллин#1202-01-01#Chemical_85 Chemical_54 Chemical_72#Ивлюшин_ГН#E1cZNBAywG
Гудашов Юрий Алексиевич#Ибупрофен#1736-03-19#Chemical_7 Chemical_9 Chemical_40#Гудашов_ЮА#HQH4JtkKUJ
Чачкин Владислав Денисович#Небиволол#1474-01-02#Chemical_85 Chemical_98 Chemical_94#Чачкин_ВД#aRYsabn8lg
Тайдаков Виталий Романович#Габапентин#1154-10-13#Chemical_10 Chemical_61 Chemical_4#Тайдаков_ВР#0YHuWh6vn4
Бояршинов Алексей Адамович#Ингавирин#1907-06-08#Chemical_32 Chemical_35 Chemical_22#Бояршинов_АА#nigwEz1z6h
Докшукина Оксана Петровна#Пилипен#1491-03-01#Chemical_93 Chemical_32 Chemical_8#Докшукина_ОП#yzmmFtYotr
Бганцева Клавдия Егоровна#Левофлоксацин#1306-02-15#Chemical_18 Chemical_16 Chemical_12#Бганцева_КЕ#r2tToc9fTG
Чубокова Виолетта Валерьевна#Бактрим#1103-03-12#Chemical_6 Chemical_72 Chemical_15#Чубокова_ВВ#V14ffKHieS
Голощапов Станислав Яковлевич#Азитромицин#1419-08-05#Chemical_17 Chemical_73 Chemical_39#Голощапов_СЯ#do3ukUYOVZ
Лукьянцев Эдуард Евгеньевич#Оксикодон#1320-05-12#Chemical_40 Chemical_66 Chemical_81#Лукьянцев_ЭЕ#eFXdeOB7wG
Мазаркина Инна Сергеевна#Урсофальк#1174-11-25#Chemical_96 Chemical_27 Chemical_81#Мазаркина_ИС#JvP7RSze9C
Иманалин Борис Кириллович#Сульфасалазин#1684-08-28#Chemical_53 Chemical_71 Chemical_80#Иманалин_БК#TkVmAzupTR
Поканкина Марина Михайловна#Глюкозамин#1008-12-26#Chemical_2 Chemical_85 Chemical_55#Поканкина_ММ#kyyZHQOUuA
Такинова Жанна Эдуардовна#Тикалиптин#1257-06-04#Chemical_2 Chemical_60 Chemical_35#Такинова_ЖЭ#H5iZ9OeK81
Клецкина Виктория Яковлевна#Ёжик#1800-08-04#Chemical_32 Chemical_18 Chemical_21#Клецкина_ВЯ#WbB1pngtJ1
Космынин Константин Павлович#Мидокалм#1380-09-07#Chemical_63 Chemical_19 Chemical_25#Космынин_КП#0nWuHMldZ9
Курцапов Виктор Иванович#Витамин С#1104-12-05#Chemical_11 Chemical_22 Chemical_63#Курцапов_ВИ#E979g9kJFr
Шарафанова Виктория Егоровна#Протоник#1004-04-20#Chemical_9 Chemical_97 Chemical_88#Шарафанова_ВЕ#Vfx1MyfA4K
Лушаков Руслан Василиевич#Омепразол#1128-03-25#Chemical_12 Chemical_17 Chemical_62#Лушаков_РВ#1jV5OQZgvY
Балченкова Оксана Вадимовна#Ранитидин#1438-04-13#Chemical_9 Chemical_16 Chemical_4#Балченкова_ОВ#0BVMdV5jOn
